ID,u1,u2,u3,u4,u5,u6
262,0.0,-0.3,-0.25,0.35,-0.3,0.0
263,0.0,-0.3,-0.25,0.35,-0.3,0.25
264,0.0,-0.3,-0.25,0.35,0.0,-0.25
265,0.0,-0.3,-0.25,0.35,0.0,0.0
266,0.0,-0.3,-0.25,0.35,0.0,0.25
267,0.0,-0.3,-0.25,0.35,0.3,-0.25
268,0.0,-0.3,-0.25,0.35,0.3,0.0
269,0.0,-0.3,-0.25,0.35,0.3,0.25
270,0.0,-0.3,0.0,-0.35,-0.3,-0.25
271,0.0,-0.3,0.0,-0.35,-0.3,0.0
272,0.0,-0.3,0.0,-0.35,-0.3,0.25
273,0.0,-0.3,0.0,-0.35,0.0,-0.25
274,0.0,-0.3,0.0,-0.35,0.0,0.0
275,0.0,-0.3,0.0,-0.35,0.0,0.25
276,0.0,-0.3,0.0,-0.35,0.3,-0.25
277,0.0,-0.3,0.0,-0.35,0.3,0.0
278,0.0,-0.3,0.0,-0.35,0.3,0.25
279,0.0,-0.3,0.0,0.0,-0.3,-0.25
280,0.0,-0.3,0.0,0.0,-0.3,0.0
281,0.0,-0.3,0.0,0.0,-0.3,0.25
282,0.0,-0.3,0.0,0.0,0.0,-0.25
283,0.0,-0.3,0.0,0.0,0.0,0.0
284,0.0,-0.3,0.0,0.0,0.0,0.25
285,0.0,-0.3,0.0,0.0,0.3,-0.25
286,0.0,-0.3,0.0,0.0,0.3,0.0
287,0.0,-0.3,0.0,0.0,0.3,0.25
288,0.0,-0.3,0.0,0.35,-0.3,-0.25
289,0.0,-0.3,0.0,0.35,-0.3,0.0
290,0.0,-0.3,0.0,0.35,-0.3,0.25
291,0.0,-0.3,0.0,0.35,0.0,-0.25
292,0.0,-0.3,0.0,0.35,0.0,0.0
293,0.0,-0.3,0.0,0.35,0.0,0.25
294,0.0,-0.3,0.0,0.35,0.3,-0.25
295,0.0,-0.3,0.0,0.35,0.3,0.0
296,0.0,-0.3,0.0,0.35,0.3,0.25
297,0.0,-0.3,0.25,-0.35,-0.3,-0.25
298,0.0,-0.3,0.25,-0.35,-0.3,0.0
299,0.0,-0.3,0.25,-0.35,-0.3,0.25
300,0.0,-0.3,0.25,-0.35,0.0,-0.25
301,0.0,-0.3,0.25,-0.35,0.0,0.0
302,0.0,-0.3,0.25,-0.35,0.0,0.25
303,0.0,-0.3,0.25,-0.35,0.3,-0.25
304,0.0,-0.3,0.25,-0.35,0.3,0.0
305,0.0,-0.3,0.25,-0.35,0.3,0.25
306,0.0,-0.3,0.25,0.0,-0.3,-0.25
307,0.0,-0.3,0.25,0.0,-0.3,0.0
308,0.0,-0.3,0.25,0.0,-0.3,0.25
309,0.0,-0.3,0.25,0.0,0.0,-0.25
310,0.0,-0.3,0.25,0.0,0.0,0.0
311,0.0,-0.3,0.25,0.0,0.0,0.25
312,0.0,-0.3,0.25,0.0,0.3,-0.25
313,0.0,-0.3,0.25,0.0,0.3,0.0
314,0.0,-0.3,0.25,0.0,0.3,0.25
315,0.0,-0.3,0.25,0.35,-0.3,-0.25
316,0.0,-0.3,0.25,0.35,-0.3,0.0
317,0.0,-0.3,0.25,0.35,-0.3,0.25
318,0.0,-0.3,0.25,0.35,0.0,-0.25
319,0.0,-0.3,0.25,0.35,0.0,0.0
320,0.0,-0.3,0.25,0.35,0.0,0.25
321,0.0,-0.3,0.25,0.35,0.3,-0.25
322,0.0,-0.3,0.25,0.35,0.3,0.0
323,0.0,-0.3,0.25,0.35,0.3,0.25
324,0.0,0.0,-0.25,-0.35,-0.3,-0.25
325,0.0,0.0,-0.25,-0.35,-0.3,0.0
326,0.0,0.0,-0.25,-0.35,-0.3,0.25
327,0.0,0.0,-0.25,-0.35,0.0,-0.25
328,0.0,0.0,-0.25,-0.35,0.0,0.0
329,0.0,0.0,-0.25,-0.35,0.0,0.25
330,0.0,0.0,-0.25,-0.35,0.3,-0.25
331,0.0,0.0,-0.25,-0.35,0.3,0.0
332,0.0,0.0,-0.25,-0.35,0.3,0.25
333,0.0,0.0,-0.25,0.0,-0.3,-0.25
334,0.0,0.0,-0.25,0.0,-0.3,0.0
335,0.0,0.0,-0.25,0.0,-0.3,0.25
336,0.0,0.0,-0.25,0.0,0.0,-0.25
337,0.0,0.0,-0.25,0.0,0.0,0.0
338,0.0,0.0,-0.25,0.0,0.0,0.25
339,0.0,0.0,-0.25,0.0,0.3,-0.25
340,0.0,0.0,-0.25,0.0,0.3,0.0
341,0.0,0.0,-0.25,0.0,0.3,0.25
342,0.0,0.0,-0.25,0.35,-0.3,-0.25
343,0.0,0.0,-0.25,0.35,-0.3,0.0
344,0.0,0.0,-0.25,0.35,-0.3,0.25
345,0.0,0.0,-0.25,0.35,0.0,-0.25
346,0.0,0.0,-0.25,0.35,0.0,0.0
347,0.0,0.0,-0.25,0.35,0.0,0.25
348,0.0,0.0,-0.25,0.35,0.3,-0.25
349,0.0,0.0,-0.25,0.35,0.3,0.0
350,0.0,0.0,-0.25,0.35,0.3,0.25
351,0.0,0.0,0.0,-0.35,-0.3,-0.25
352,0.0,0.0,0.0,-0.35,-0.3,0.0
353,0.0,0.0,0.0,-0.35,-0.3,0.25
354,0.0,0.0,0.0,-0.35,0.0,-0.25
355,0.0,0.0,0.0,-0.35,0.0,0.0
